,id,was_married,childrens,salary,sex,age,Professon,home_cost,drive_info
55,55,1,9.0,131979.3,1,99.0,Artist,10190414.985637575,1.0
56,56,1,0.0,2004.5,0,17.0,Healthcare,10077376.995507104,1.0
57,57,1,4.0,45284.86,1,82.0,Engineer,10151696.404976718,1.0
58,58,1,9.0,132536.26,1,100.0,Artist,10206640.617840478,
59,59,1,1.0,12580.48,1,9.0,Marketing,10244366.545710357,
60,60,1,4.0,44155.63,1,82.0,Engineer,10031008.228418654,0.0
61,61,1,9.0,132562.95,1,99.0,Artist,10216310.385491792,
62,62,1,6.0,216712.05,1,13.0,Entertainment,10303274.686131062,1.0
63,63,1,1.0,12529.41,1,9.0,Marketing,10086932.838050082,0.0
64,64,1,4.0,45275.3,1,82.0,Engineer,10138984.200493814,0.0
65,65,1,0.0,2058.01,0,17.0,Healthcare,10158757.958194371,1.0
66,66,1,9.0,131795.42,1,99.0,Artist,10181477.346055642,0.0
67,67,1,6.0,214797.79,1,14.0,Entertainment,10234177.92949012,
68,68,1,6.0,213010.82,1,13.0,Entertainment,10448859.250990205,
69,69,1,9.0,132889.55,1,100.0,Artist,10248735.566384546,
70,70,1,0.0,36103.67,1,3.0,Executive,10121962.60621965,
71,71,1,1.0,12837.2,1,9.0,Marketing,10063899.204594526,
72,72,0,1.0,186724.53,0,10.0,Lawyer,10301832.009382596,
73,73,1,6.0,214867.64,1,13.0,Entertainment,10277231.003318138,0.0
74,74,1,9.0,132455.32,1,100.0,Artist,10393876.448345143,
75,75,1,0.0,35561.03,1,3.0,Executive,10078323.704945125,
76,76,1,6.0,213655.49,1,13.0,Entertainment,10291521.621981168,1.0
77,77,0,1.0,185180.32,0,10.0,Lawyer,10203281.18848741,0.0
78,78,1,0.0,1974.36,0,17.0,Healthcare,10154462.585958349,1.0
79,79,0,2.0,202151.02,1,32.0,Doctor,10357944.044502871,1.0
80,80,1,0.0,35724.19,1,3.0,Executive,10027692.662565948,1.0
81,81,0,1.0,184950.63,0,10.0,Lawyer,10233442.85529597,1.0
82,82,1,1.0,12872.59,1,9.0,Marketing,10123864.701157488,1.0
83,83,0,2.0,201793.39,1,32.0,Doctor,10257472.217552615,
84,84,0,1.0,185945.46,0,11.0,Lawyer,10279511.54580538,
85,85,0,1.0,185600.33,0,10.0,Lawyer,10259351.860424029,
86,86,1,3.0,1002.38,0,21.0,Homemaker,10030913.148306496,
87,87,1,3.0,1001.02,0,20.0,Homemaker,10145576.70306424,
88,88,1,0.0,2078.03,0,17.0,Healthcare,10110046.541038422,
89,89,1,3.0,998.44,0,21.0,Homemaker,9882781.19995779,1.0
90,90,1,4.0,44941.36,1,82.0,Engineer,10049877.292150363,
91,91,1,4.0,44851.29,1,82.0,Engineer,10107770.807544312,1.0
92,92,1,2.0,202064.42,1,32.0,Doctor,10299663.088341711,
93,93,1,3.0,998.32,0,21.0,Homemaker,10170327.380151568,1.0
94,94,1,9.0,131996.67,1,100.0,Artist,10127844.514579346,1.0
95,95,1,9.0,131806.5,1,99.0,Artist,10161486.737192145,
96,96,1,3.0,1000.78,0,21.0,Homemaker,10107324.859111512,1.0
97,97,1,1.0,12504.68,1,9.0,Marketing,10213048.913930325,1.0
98,98,1,6.0,213903.21,1,14.0,Entertainment,10405277.862676704,
99,99,0,1.0,185191.95,0,11.0,Lawyer,10173919.225074071,1.0
100,100,1,2.0,201479.32,1,32.0,Doctor,10280761.720426982,0.0
101,101,1,0.0,36446.76,1,3.0,Executive,10102270.913220352,
102,102,0,1.0,186022.1,0,10.0,Lawyer,10417446.373123895,1.0
103,103,1,9.0,132137.17,1,99.0,Artist,10171432.379651835,
104,104,1,3.0,999.01,0,21.0,Homemaker,10046163.001367554,
105,105,1,0.0,2064.81,0,17.0,Healthcare,10019371.821621962,0.0
106,106,1,0.0,36393.02,1,3.0,Executive,10045269.978931615,
107,107,1,9.0,131266.49,1,99.0,Artist,10220293.746352408,
108,108,1,9.0,132453.26,1,99.0,Artist,10153969.23351607,
109,109,1,6.0,211680.13,1,13.0,Entertainment,10408424.23031968,
110,110,0,1.0,184818.8,0,10.0,Lawyer,10310681.529242354,1.0
111,111,1,9.0,132472.26,1,100.0,Artist,10127852.802333351,
112,112,1,1.0,12707.04,1,9.0,Marketing,10185354.663907304,
113,113,1,2.0,201602.37,1,32.0,Doctor,10286423.447450915,1.0
114,114,1,4.0,45049.96,1,82.0,Engineer,10204234.341158671,1.0
115,115,0,2.0,201289.81,1,32.0,Doctor,10332675.562069742,
116,116,1,3.0,1000.34,0,21.0,Homemaker,10042864.191712417,1.0
117,117,1,3.0,999.18,0,21.0,Homemaker,10074241.3916007,1.0
118,118,1,0.0,36853.84,1,3.0,Executive,10075141.52349924,0.0
119,119,1,2.0,201689.71,1,32.0,Doctor,10192538.878635606,1.0
120,120,1,4.0,45240.38,1,81.0,Engineer,10128362.44141095,0.0
121,121,1,0.0,2079.75,0,17.0,Healthcare,10097853.937958648,0.0
122,122,0,1.0,185864.48,0,10.0,Lawyer,10252007.415478608,
123,123,1,3.0,999.26,0,21.0,Homemaker,10180088.755034173,0.0
124,124,1,9.0,132564.71,1,100.0,Artist,10337306.419533616,
125,125,1,0.0,2077.4,0,17.0,Healthcare,9969120.181728125,
126,126,1,4.0,44304.46,1,82.0,Engineer,10088843.380506128,
127,127,1,4.0,45542.95,1,82.0,Engineer,10146706.17664791,1.0
128,128,1,0.0,37674.61,1,3.0,Executive,10191019.8920851,
129,129,1,9.0,132492.8,1,100.0,Artist,10173994.865041004,1.0
130,130,1,0.0,35535.08,1,3.0,Executive,10200641.18647295,
131,131,0,1.0,187093.38,0,10.0,Lawyer,10336155.473863894,1.0
132,132,1,1.0,12671.73,1,9.0,Marketing,10138232.608254367,
133,133,1,1.0,12564.14,1,9.0,Marketing,10096392.988613283,0.0
134,134,1,0.0,2065.48,0,17.0,Healthcare,10134529.020213043,1.0
135,135,1,9.0,132516.98,1,100.0,Artist,10021473.537065135,1.0
136,136,1,1.0,12648.7,1,9.0,Marketing,10131936.913089631,1.0
137,137,0,2.0,203550.42,1,32.0,Doctor,10184260.525624136,
138,138,1,1.0,12765.11,1,9.0,Marketing,10269426.281703657,
139,139,1,1.0,12613.79,1,9.0,Marketing,10158218.15936428,1.0
140,140,1,9.0,132340.69,1,100.0,Artist,10204016.369932069,
141,141,1,0.0,36534.95,1,3.0,Executive,10086890.12655454,
142,142,1,4.0,45043.14,1,82.0,Engineer,10095091.966299187,1.0
143,143,1,1.0,13087.85,1,9.0,Marketing,10251250.377903346,
144,144,1,0.0,35210.34,1,3.0,Executive,10224028.741614783,1.0
145,145,1,2.0,201968.22,1,32.0,Doctor,10299308.18407434,
146,146,1,0.0,2013.6,0,17.0,Healthcare,10178930.3828644,1.0
147,147,1,0.0,36401.75,1,3.0,Executive,10180519.02926908,1.0
148,148,1,0.0,2055.07,0,17.0,Healthcare,10146812.9842423,1.0
149,149,1,9.0,132013.93,1,99.0,Artist,10379937.29170592,
150,150,1,3.0,1000.35,0,21.0,Homemaker,10059712.751849797,1.0
151,151,1,6.0,214217.95,1,13.0,Entertainment,10307901.5508727,
152,152,1,0.0,36007.85,1,3.0,Executive,10057238.084894327,1.0
153,153,1,4.0,45791.61,1,82.0,Engineer,10234171.303841952,
154,154,1,0.0,2050.14,0,17.0,Healthcare,10056081.84912598,1.0
155,155,1,4.0,45690.32,1,82.0,Engineer,10151708.592670016,
156,156,1,2.0,202457.62,1,32.0,Doctor,10293135.378578791,1.0
157,157,1,0.0,35503.05,1,3.0,Executive,10123160.839055914,1.0
158,158,1,0.0,35220.1,1,3.0,Executive,10145095.030428998,1.0
159,159,1,6.0,213414.01,1,13.0,Entertainment,10375885.09090584,
160,160,1,1.0,12822.67,1,9.0,Marketing,10135685.447529966,0.0
161,161,0,1.0,186661.05,0,10.0,Lawyer,10315059.053371286,1.0
162,162,1,9.0,131982.28,1,99.0,Artist,10132620.63661697,0.0
163,163,1,0.0,2001.75,0,17.0,Healthcare,9958080.342927191,1.0
164,164,1,9.0,131849.61,1,99.0,Artist,10165913.166508472,1.0
165,165,1,9.0,132348.01,1,100.0,Artist,10160225.42309281,1.0
166,166,0,1.0,185368.3,0,10.0,Lawyer,10363944.81010158,
167,167,1,0.0,36605.28,1,3.0,Executive,10146622.821023118,0.0
168,168,1,1.0,12964.04,1,9.0,Marketing,10031393.35918374,
169,169,1,6.0,214485.95,1,13.0,Entertainment,10473524.926419536,
170,170,1,3.0,1002.69,0,21.0,Homemaker,10032482.251831591,1.0
171,171,1,4.0,45825.57,1,82.0,Engineer,10135533.840301763,1.0
172,172,1,0.0,1991.22,0,17.0,Healthcare,10169998.512669424,
173,173,1,3.0,999.81,0,21.0,Homemaker,9824378.17956564,
174,174,1,9.0,131540.94,1,99.0,Artist,10251152.23466556,0.0
175,175,1,0.0,2025.34,0,17.0,Healthcare,10171644.024670428,1.0
176,176,1,6.0,211887.46,1,14.0,Entertainment,10290018.11020068,
177,177,1,3.0,999.04,0,21.0,Homemaker,10110056.072026104,
178,178,1,9.0,131866.53,1,99.0,Artist,10294510.753885144,
179,179,1,9.0,132213.99,1,99.0,Artist,10157212.77065668,0.0
180,180,1,1.0,12342.29,1,9.0,Marketing,10130721.7218824,
181,181,1,6.0,213766.41,1,14.0,Entertainment,10297607.930670813,1.0
182,182,1,0.0,36622.42,1,3.0,Executive,10122957.238061631,
183,183,1,0.0,36094.24,1,3.0,Executive,10142862.141278269,
184,184,1,4.0,45658.14,1,82.0,Engineer,10060382.024966124,1.0
185,185,1,2.0,201066.87,1,32.0,Doctor,10370087.087265955,0.0
186,186,1,0.0,2042.75,0,17.0,Healthcare,10172907.474793252,
187,187,0,1.0,185734.73,0,10.0,Lawyer,10236467.422141846,1.0
188,188,1,2.0,202434.06,1,32.0,Doctor,10355667.406097334,1.0
189,189,1,0.0,2041.56,0,17.0,Healthcare,10082953.058972456,
190,190,0,1.0,186389.35,0,11.0,Lawyer,10330869.579571566,
191,191,1,0.0,2063.5,0,17.0,Healthcare,10052771.18627967,1.0
192,192,1,2.0,201969.34,1,32.0,Doctor,10319008.663586248,0.0
193,193,1,2.0,201415.17,1,32.0,Doctor,10457242.167766703,1.0
194,194,1,6.0,215565.63,1,14.0,Entertainment,10392791.460321471,1.0
195,195,1,0.0,2036.27,0,17.0,Healthcare,10175165.926371202,1.0
196,196,1,1.0,13110.94,1,9.0,Marketing,10196680.325663768,
197,197,1,3.0,1002.09,0,20.0,Homemaker,10109072.020582518,1.0
198,198,1,6.0,214586.55,1,14.0,Entertainment,10371503.16083228,1.0
199,199,1,2.0,202166.07,1,32.0,Doctor,10249039.466046592,
200,200,1,9.0,132228.02,1,100.0,Artist,10129652.348338146,0.0
201,201,1,0.0,36182.42,1,3.0,Executive,10141373.419991706,1.0
202,202,1,1.0,12925.09,1,9.0,Marketing,10220896.796801114,1.0
203,203,1,3.0,999.27,0,20.0,Homemaker,10063635.450437298,
204,204,1,1.0,12422.61,1,9.0,Marketing,10202948.933279974,
205,205,1,0.0,36020.24,1,3.0,Executive,10139913.330330484,
206,206,1,6.0,215665.1,1,14.0,Entertainment,10327227.16976031,
207,207,1,9.0,133378.12,1,100.0,Artist,10239063.342760466,
208,208,1,6.0,213245.71,1,14.0,Entertainment,10254546.008258251,0.0
209,209,1,1.0,12518.43,1,9.0,Marketing,10099708.733658211,
210,210,1,1.0,12699.01,1,9.0,Marketing,10114921.976098493,
211,211,1,6.0,213807.45,1,14.0,Entertainment,10408535.087677116,0.0
212,212,1,2.0,200846.01,1,32.0,Doctor,10214862.013447933,1.0
213,213,1,1.0,12708.89,1,9.0,Marketing,10092001.741560064,
214,214,1,0.0,35415.52,1,3.0,Executive,10144231.051204767,
215,215,1,9.0,131899.83,1,99.0,Artist,10276147.23243513,
216,216,1,3.0,999.91,0,21.0,Homemaker,10026924.66418632,0.0
217,217,1,1.0,12757.4,1,9.0,Marketing,10086386.197254157,1.0
218,218,0,2.0,202600.11,1,32.0,Doctor,10267788.2596955,
219,219,1,1.0,12568.31,1,9.0,Marketing,10150164.64566772,
220,220,1,2.0,202548.44,1,32.0,Doctor,10162218.537814246,
221,221,1,3.0,999.49,0,21.0,Homemaker,10098698.075837111,
222,222,1,1.0,12643.44,1,9.0,Marketing,10066347.039046057,1.0
223,223,1,4.0,45947.69,1,82.0,Engineer,10120690.69143533,
224,224,1,0.0,36196.98,1,3.0,Executive,10180618.20379478,
225,225,1,3.0,998.67,0,21.0,Homemaker,9943756.165074283,
226,226,1,9.0,132251.22,1,100.0,Artist,10277614.491394795,0.0
227,227,1,9.0,133265.55,1,99.0,Artist,10382466.567147836,
228,228,1,4.0,45647.64,1,81.0,Engineer,10216972.029184956,1.0
229,229,1,0.0,2046.42,0,17.0,Healthcare,10091118.846704455,1.0
230,230,1,4.0,45149.02,1,82.0,Engineer,10127558.736415362,1.0
231,231,1,0.0,2035.96,0,17.0,Healthcare,10049722.282840991,
232,232,0,1.0,187202.58,0,11.0,Lawyer,10225787.548968684,1.0
233,233,1,1.0,12780.03,1,9.0,Marketing,9965820.370473685,1.0
234,234,1,3.0,999.92,0,20.0,Homemaker,10070198.185303263,1.0
235,235,1,6.0,213295.86,1,14.0,Entertainment,10239258.41614001,
236,236,1,9.0,131845.26,1,99.0,Artist,10190261.473779531,
237,237,1,4.0,45205.25,1,81.0,Engineer,9947734.290290607,
238,238,1,9.0,132167.75,1,100.0,Artist,10161892.775834458,0.0
239,239,1,0.0,36912.56,1,3.0,Executive,10201860.686464282,1.0
240,240,1,0.0,37042.59,1,3.0,Executive,10039219.516244698,
241,241,1,2.0,200789.46,1,32.0,Doctor,10309128.260531506,1.0
242,242,1,0.0,2109.37,0,17.0,Healthcare,10110977.328657083,
243,243,0,1.0,185239.27,0,10.0,Lawyer,10307553.349244244,
244,244,1,9.0,132155.92,1,99.0,Artist,10437164.192198915,
245,245,1,6.0,213999.72,1,14.0,Entertainment,10161968.333874147,
246,246,1,1.0,12843.76,1,9.0,Marketing,10240099.110015923,
247,247,1,0.0,36064.98,1,3.0,Executive,10217106.242311466,1.0
248,248,1,0.0,37231.91,1,3.0,Executive,10175487.903361894,1.0
249,249,1,0.0,2030.56,0,17.0,Healthcare,10194502.864885522,
250,250,1,3.0,999.27,0,20.0,Homemaker,10011540.452791823,1.0
251,251,1,4.0,45715.85,1,82.0,Engineer,10305669.962899528,
252,252,1,2.0,201827.69,1,32.0,Doctor,10292122.82247538,
253,253,1,0.0,36122.73,1,3.0,Executive,10115163.76901156,
254,254,1,0.0,36947.28,1,3.0,Executive,10176549.728030097,
255,255,0,2.0,201688.67,1,32.0,Doctor,10153674.138895275,
256,256,0,2.0,200909.76,1,32.0,Doctor,10264395.970682329,1.0
257,257,1,3.0,999.21,0,21.0,Homemaker,10009980.077708377,
258,258,1,9.0,132750.12,1,100.0,Artist,10220125.522755343,1.0
259,259,1,1.0,12676.0,1,9.0,Marketing,10250642.138555562,
260,260,1,1.0,12890.02,1,9.0,Marketing,10207125.23025848,
261,261,1,0.0,2024.13,0,17.0,Healthcare,10110765.73318353,
262,262,1,9.0,132796.25,1,99.0,Artist,10180216.595299322,1.0
263,263,1,9.0,132582.71,1,99.0,Artist,10313786.33960228,0.0
264,264,1,9.0,131942.37,1,99.0,Artist,10221583.218789935,1.0
265,265,0,1.0,185933.92,0,11.0,Lawyer,10179224.21680123,0.0
266,266,0,1.0,186124.36,0,11.0,Lawyer,10183990.847150806,
267,267,1,3.0,1000.28,0,21.0,Homemaker,10143137.598852016,1.0
268,268,1,9.0,132259.49,1,99.0,Artist,10179711.29274606,
269,269,1,3.0,1001.16,0,21.0,Homemaker,10092497.27157379,
270,270,1,0.0,2078.01,0,18.0,Healthcare,10129828.432811003,1.0
271,271,1,3.0,999.12,0,21.0,Homemaker,10210404.533298358,
272,272,1,4.0,44574.79,1,82.0,Engineer,10017297.595754543,
273,273,1,3.0,999.7,0,21.0,Homemaker,10081530.733111689,
274,274,1,3.0,1000.41,0,21.0,Homemaker,10049856.612160152,1.0
275,275,1,3.0,998.59,0,21.0,Homemaker,10026258.086640384,1.0
276,276,0,1.0,186213.48,0,10.0,Lawyer,10295759.987709712,1.0
277,277,1,1.0,12616.4,1,9.0,Marketing,10062987.972021518,
278,278,1,4.0,46082.76,1,82.0,Engineer,10058480.525306825,
279,279,0,1.0,185486.39,0,10.0,Lawyer,10444844.873904107,
280,280,1,0.0,2026.32,0,17.0,Healthcare,10015859.175319096,
281,281,1,3.0,999.34,0,21.0,Homemaker,10032228.305728268,1.0
282,282,1,0.0,35936.15,1,3.0,Executive,10209396.067787347,
283,283,1,1.0,12821.57,1,9.0,Marketing,10052743.054532906,1.0
284,284,1,0.0,2026.39,0,17.0,Healthcare,10181914.784317622,
285,285,1,4.0,45383.67,1,81.0,Engineer,10180889.523617797,
286,286,1,3.0,1000.51,0,20.0,Homemaker,10077991.862808628,1.0
287,287,1,0.0,2026.44,0,17.0,Healthcare,10126453.045954764,1.0
288,288,1,0.0,2018.31,0,17.0,Healthcare,10106582.284723517,0.0
289,289,1,4.0,46403.65,1,81.0,Engineer,10098977.71694693,
290,290,1,9.0,131557.98,1,99.0,Artist,10445780.276318587,
291,291,0,1.0,185798.39,0,11.0,Lawyer,10240097.277830396,0.0
292,292,1,0.0,1991.19,0,17.0,Healthcare,10140768.541539587,
293,293,1,2.0,201576.29,1,32.0,Doctor,10265027.196824772,1.0
294,294,0,1.0,186018.86,0,11.0,Lawyer,10256841.971904725,1.0
295,295,1,6.0,213297.77,1,14.0,Entertainment,10316960.93992757,1.0
296,296,1,0.0,1989.0,0,17.0,Healthcare,10029242.26087009,1.0
297,297,1,0.0,35293.42,1,3.0,Executive,10050131.781367537,1.0
298,298,1,1.0,12210.73,1,9.0,Marketing,10068021.955067163,
299,299,1,6.0,213062.71,1,13.0,Entertainment,10323114.61508996,
300,300,0,1.0,185606.5,0,11.0,Lawyer,10177514.865886554,1.0
301,301,1,0.0,2043.74,0,17.0,Healthcare,10092275.392443994,1.0
302,302,1,9.0,131762.77,1,99.0,Artist,10200709.688045043,
303,303,0,1.0,184801.24,0,10.0,Lawyer,10195937.611302877,0.0
304,304,1,3.0,1000.2,0,21.0,Homemaker,10241519.824421944,
305,305,1,4.0,44439.05,1,82.0,Engineer,10149724.946214993,1.0
306,306,1,0.0,2044.95,0,17.0,Healthcare,10134845.666131012,
307,307,1,6.0,212705.88,1,13.0,Entertainment,10322337.506998297,
308,308,0,1.0,186048.72,0,11.0,Lawyer,10217199.645837853,
309,309,1,4.0,45460.59,1,82.0,Engineer,10046918.562969578,
310,310,1,1.0,12630.2,1,9.0,Marketing,9948181.657023937,
311,311,0,1.0,186402.65,0,10.0,Lawyer,10264682.03181241,1.0
312,312,1,6.0,213031.24,1,13.0,Entertainment,10258935.17174546,
313,313,0,1.0,187210.88,0,11.0,Lawyer,10472675.877360204,0.0
314,314,1,2.0,201532.73,1,32.0,Doctor,10249357.84432972,
315,315,0,1.0,186310.58,0,10.0,Lawyer,10317282.064068116,0.0
316,316,0,1.0,185169.78,0,10.0,Lawyer,10316680.228641614,
317,317,1,3.0,998.38,0,21.0,Homemaker,10077359.545491235,
318,318,1,6.0,215900.15,1,13.0,Entertainment,10365961.024726003,1.0
319,319,1,6.0,212375.22,1,13.0,Entertainment,10367026.106121724,
320,320,1,0.0,1983.52,0,17.0,Healthcare,10084275.73671384,1.0
321,321,1,4.0,45179.38,1,82.0,Engineer,10105524.97734397,
322,322,1,0.0,35418.17,1,3.0,Executive,10228162.605289957,
323,323,1,6.0,213639.36,1,14.0,Entertainment,10423749.177275304,1.0
324,324,1,6.0,211471.34,1,14.0,Entertainment,10187841.489769291,
325,325,1,1.0,12520.58,1,9.0,Marketing,10042903.289060509,
326,326,1,3.0,999.11,0,21.0,Homemaker,10250416.906995682,1.0
327,327,0,1.0,186802.84,0,11.0,Lawyer,10254027.997604411,
328,328,1,0.0,2027.24,0,17.0,Healthcare,10076066.26720642,
329,329,0,1.0,186797.71,0,11.0,Lawyer,10203090.482706336,0.0
330,330,1,3.0,999.64,0,20.0,Homemaker,10003557.145598255,1.0
331,331,1,1.0,12972.17,1,9.0,Marketing,10237804.010063598,
332,332,1,3.0,999.54,0,21.0,Homemaker,10260909.3851035,
333,333,0,1.0,185540.43,0,11.0,Lawyer,10349210.508307984,
334,334,1,4.0,46564.74,1,82.0,Engineer,10276173.312299334,
335,335,1,3.0,1000.38,0,20.0,Homemaker,10112333.62544094,
336,336,1,6.0,212868.26,1,14.0,Entertainment,10323607.473047696,
337,337,1,0.0,2029.36,0,17.0,Healthcare,10243898.790424887,1.0
338,338,1,6.0,213171.24,1,13.0,Entertainment,10260905.992450556,1.0
339,339,1,3.0,999.31,0,20.0,Homemaker,10173635.622152844,
340,340,1,9.0,132405.77,1,99.0,Artist,10121792.505001476,
341,341,1,1.0,12797.13,1,9.0,Marketing,10144800.563808754,0.0
342,342,1,3.0,1000.93,0,21.0,Homemaker,10133367.651269777,1.0
343,343,1,1.0,12838.48,1,9.0,Marketing,10179806.649530765,0.0
344,344,1,4.0,45032.86,1,81.0,Engineer,10223769.88577018,0.0
345,345,1,4.0,45738.09,1,82.0,Engineer,10207567.194855263,0.0
346,346,1,0.0,2022.45,0,17.0,Healthcare,9911264.915714364,0.0
347,347,1,0.0,37389.24,1,3.0,Executive,10014256.50376309,
348,348,1,6.0,214633.15,1,13.0,Entertainment,10325273.32018145,1.0
349,349,0,1.0,185815.44,0,10.0,Lawyer,10347202.212353015,
350,350,1,0.0,38141.61,1,3.0,Executive,10173952.579238867,1.0
351,351,1,2.0,203758.78,1,32.0,Doctor,10307663.71820354,
352,352,1,2.0,202515.52,1,32.0,Doctor,10296639.926960053,1.0
353,353,1,6.0,215500.2,1,13.0,Entertainment,10409045.9789425,
354,354,1,9.0,131644.99,1,100.0,Artist,10158773.596782427,1.0
355,355,1,0.0,2024.76,0,17.0,Healthcare,9981432.544817096,1.0
356,356,0,2.0,201905.07,1,32.0,Doctor,10378962.934874896,
357,357,1,0.0,2015.9,0,17.0,Healthcare,10106411.103212446,1.0
358,358,0,2.0,201773.25,1,32.0,Doctor,10433964.240026552,1.0
359,359,1,0.0,35937.35,1,3.0,Executive,10129098.65277047,
360,360,1,4.0,47532.32,1,82.0,Engineer,10140790.195725787,0.0
361,361,1,9.0,132699.22,1,99.0,Artist,10244048.048191171,
362,362,0,1.0,186183.22,0,10.0,Lawyer,10230890.111003071,1.0
363,363,1,4.0,45585.24,1,82.0,Engineer,10184515.263003431,1.0
364,364,1,6.0,212861.52,1,14.0,Entertainment,10320040.89317291,
365,365,1,4.0,43894.24,1,82.0,Engineer,10110184.73539205,
366,366,1,1.0,12426.23,1,9.0,Marketing,9994304.172911914,0.0
367,367,1,0.0,2006.95,0,17.0,Healthcare,10028330.807474423,
368,368,1,1.0,12737.03,1,9.0,Marketing,10165308.917683871,1.0
369,369,1,0.0,2074.92,0,17.0,Healthcare,10059989.960900765,
370,370,0,1.0,184763.41,0,10.0,Lawyer,10358326.450545223,
371,371,1,6.0,215748.51,1,14.0,Entertainment,10302648.845433827,
372,372,1,0.0,2055.68,0,17.0,Healthcare,10105710.998507297,1.0
373,373,1,6.0,214096.71,1,13.0,Entertainment,10450959.53209043,1.0
374,374,1,0.0,2053.55,0,17.0,Healthcare,10077751.55991292,
375,375,0,2.0,201548.75,1,32.0,Doctor,10269686.284167085,
376,376,1,6.0,215084.67,1,13.0,Entertainment,10422578.673293345,1.0
377,377,1,1.0,12648.74,1,9.0,Marketing,10056466.394620858,
378,378,0,1.0,184946.16,0,10.0,Lawyer,10277246.748312265,
